nev,cim,osszeg,hatarido,kozlemeny
Tóth Béla,"1011 Budapest, Fő utca 10.",245130,2024. október 31.,ADÓ123456
Kovács János,"1234 Budapest, Fő utca 1.",113021,2024. november 05.,ADÓ243511
Szabó Anna,"5678 Debrecen, Kossuth tér 3.",278974,2024. december 19.,ADÓ879866
Nagy Péter,"9012 Győr, Baross út 5.",229005,2024. november 29.,TÖRL846592
Tóth Katalin,"3456 Szeged, Dóm tér 7.",181092,2025. január 02.,ADÓ548053
Varga László,"6789 Pécs, Zsolnay út 9.",222370,2024. november 21.,TART485595
Farkas Zoltán,"7890 Miskolc, Petőfi Sándor utca 11.",177837,2024. december 14.,ADÓ665962
Kiss Mária,"8765 Nyíregyháza, Bethlen Gábor utca 13.",312450,2024. december 03.,ADÓ987654
Fekete Ferenc,"4321 Székesfehérvár, Piac tér 15.",145870,2024. november 18.,TÖRL546879
Horváth Éva,"2109 Kecskemét, Szabadság tér 17.",298640,2025. január 15.,ADÓ321456
Szilágyi László,"9876 Eger, Dobó István tér 19.",210350,2024. december 28.,TART987541
Gál Péter,"5432 Veszprém, Óváros tér 21.",198760,2024. november 11.,ADÓ654123
Balogh Anna,"3210 Sopron, Fő tér 23.",235890,2024. december 08.,TÖRL123654
Papp Zsolt,"1098 Tatabánya, Szent István tér 25.",168740,2024. november 26.,ADÓ789456
